=== Top 100 Results for UEC ===
Rank | PnL | Parameters
--------------------------------------------------------------------------------
   1 |   101.11 | Threshold: 0.71, Window: 45, Small: 3, Large: 14, Interval: 15
   2 |    87.69 | Threshold: 0.71, Window: 45, Small: 5, Large: 14, Interval: 15
   3 |    86.93 | Threshold: 0.71, Window: 45, Small: 1, Large: 14, Interval: 15
   4 |    32.64 | Threshold: 0.71, Window: 45, Small: 3, Large: 10, Interval: 15
   5 |    20.09 | Threshold: 0.71, Window: 45, Small: 1, Large: 6, Interval: 5

=== Top 100 Results for SOBER ===
Rank | PnL | Parameters
--------------------------------------------------
   1 | 17794.78 | Threshold: 4.00, Window: 30, Small: 3, Large: 8, Interval: 10
   2 | 17770.07 | Threshold: 3.00, Window: 20, Small: 1, Large: 10, Interval: 15
   3 | 17755.77 | Threshold: 3.00, Window: 20, Small: 2, Large: 10, Interval: 15
   4 | 17741.47 | Threshold: 3.00, Window: 20, Small: 3, Large: 10, Interval: 15
   5 | 17717.99 | Threshold: 3.50, Window: 30, Small: 3, Large: 10, Interval: 10
   6 | 17713.04 | Threshold: 4.00, Window: 30, Small: 1, Large: 8, Interval: 10
   7 | 17616.04 | Threshold: 3.00, Window: 20, Small: 3, Large: 8, Interval: 10
   8 | 17609.62 | Threshold: 3.50, Window: 30, Small: 1, Large: 8, Interval: 10
   9 | 17559.79 | Threshold: 3.50, Window: 30, Small: 3, Large: 6, Interval: 10
  10 | 17545.80 | Threshold: 4.00, Window: 30, Small: 1, Large: 6, Interval: 10
  11 | 17544.34 | Threshold: 4.00, Window: 30, Small: 2, Large: 8, Interval: 15
  12 | 17521.42 | Threshold: 3.00, Window: 20, Small: 1, Large: 10, Interval: 20
  13 | 17521.31 | Threshold: 3.00, Window: 20, Small: 3, Large: 6, Interval: 10
  14 | 17510.16 | Threshold: 3.00, Window: 30, Small: 1, Large: 8, Interval: 10
  15 | 17507.10 | Threshold: 3.50, Window: 30, Small: 3, Large: 10, Interval: 15
  16 | 17507.06 | Threshold: 3.00, Window: 20, Small: 2, Large: 10, Interval: 20
  17 | 17492.69 | Threshold: 3.00, Window: 20, Small: 3, Large: 10, Interval: 20
  18 | 17485.98 | Threshold: 3.50, Window: 30, Small: 1, Large: 6, Interval: 10
  19 | 17485.77 | Threshold: 3.50, Window: 20, Small: 3, Large: 8, Interval: 15
  20 | 17445.34 | Threshold: 3.00, Window: 20, Small: 2, Large: 8, Interval: 10
  21 | 17420.30 | Threshold: 4.00, Window: 30, Small: 2, Large: 10, Interval: 10
  22 | 17409.93 | Threshold: 3.50, Window: 20, Small: 3, Large: 6, Interval: 10
  23 | 17350.62 | Threshold: 3.00, Window: 20, Small: 2, Large: 6, Interval: 10
  24 | 17339.07 | Threshold: 4.00, Window: 30, Small: 3, Large: 4, Interval: 10
  25 | 17332.94 | Threshold: 3.50, Window: 20, Small: 1, Large: 8, Interval: 15
  26 | 17312.26 | Threshold: 3.50, Window: 30, Small: 1, Large: 8, Interval: 15
  27 | 17310.98 | Threshold: 3.50, Window: 30, Small: 3, Large: 8, Interval: 10
  28 | 17274.64 | Threshold: 3.00, Window: 20, Small: 1, Large: 8, Interval: 10
  29 | 17272.19 | Threshold: 3.00, Window: 30, Small: 3, Large: 8, Interval: 10
  30 | 17264.20 | Threshold: 4.00, Window: 30, Small: 2, Large: 6, Interval: 10
  31 | 17241.29 | Threshold: 4.00, Window: 30, Small: 2, Large: 6, Interval: 15
  32 | 17227.74 | Threshold: 3.50, Window: 30, Small: 2, Large: 8, Interval: 20
  33 | 17224.65 | Threshold: 4.00, Window: 30, Small: 2, Large: 4, Interval: 10
  34 | 17209.34 | Threshold: 3.50, Window: 20, Small: 2, Large: 10, Interval: 15
  35 | 17199.45 | Threshold: 3.00, Window: 30, Small: 2, Large: 6, Interval: 10
  36 | 17189.36 | Threshold: 3.00, Window: 20, Small: 3, Large: 4, Interval: 10
  37 | 17179.92 | Threshold: 3.00, Window: 20, Small: 1, Large: 6, Interval: 10
  38 | 17178.44 | Threshold: 3.50, Window: 20, Small: 2, Large: 8, Interval: 20
  39 | 17176.04 | Threshold: 4.00, Window: 30, Small: 1, Large: 8, Interval: 15
  40 | 17168.17 | Threshold: 3.00, Window: 20, Small: 1, Large: 10, Interval: 25
  41 | 17165.96 | Threshold: 3.50, Window: 30, Small: 2, Large: 10, Interval: 10
  42 | 17153.17 | Threshold: 3.00, Window: 20, Small: 2, Large: 10, Interval: 25
  43 | 17147.44 | Threshold: 3.50, Window: 20, Small: 2, Large: 6, Interval: 10
  44 | 17138.64 | Threshold: 3.50, Window: 30, Small: 3, Large: 6, Interval: 15
  45 | 17138.18 | Threshold: 3.00, Window: 20, Small: 3, Large: 10, Interval: 25
  46 | 17137.14 | Threshold: 4.00, Window: 30, Small: 2, Large: 8, Interval: 20
  47 | 17109.33 | Threshold: 3.50, Window: 20, Small: 1, Large: 10, Interval: 10
  48 | 17108.02 | Threshold: 4.00, Window: 30, Small: 1, Large: 4, Interval: 10
  49 | 17098.61 | Threshold: 3.50, Window: 30, Small: 1, Large: 4, Interval: 10
  50 | 17069.02 | Threshold: 3.50, Window: 30, Small: 3, Large: 8, Interval: 15
  51 | 17061.71 | Threshold: 4.00, Window: 30, Small: 2, Large: 8, Interval: 10
  52 | 17046.19 | Threshold: 4.00, Window: 30, Small: 3, Large: 10, Interval: 15
  53 | 17044.16 | Threshold: 3.00, Window: 30, Small: 3, Large: 10, Interval: 10
  54 | 17030.86 | Threshold: 3.50, Window: 30, Small: 2, Large: 4, Interval: 10
  55 | 17018.66 | Threshold: 3.00, Window: 20, Small: 2, Large: 4, Interval: 10
  56 | 17007.77 | Threshold: 3.50, Window: 30, Small: 2, Large: 6, Interval: 10
  57 | 16999.84 | Threshold: 3.00, Window: 30, Small: 1, Large: 6, Interval: 10
  58 | 16984.05 | Threshold: 4.00, Window: 30, Small: 3, Large: 6, Interval: 10
  59 | 16962.48 | Threshold: 3.50, Window: 30, Small: 1, Large: 6, Interval: 15
  60 | 16955.79 | Threshold: 3.50, Window: 30, Small: 2, Large: 10, Interval: 15
  61 | 16951.41 | Threshold: 3.50, Window: 20, Small: 1, Large: 6, Interval: 15
  62 | 16946.04 | Threshold: 3.50, Window: 30, Small: 3, Large: 4, Interval: 10
  63 | 16943.99 | Threshold: 3.00, Window: 20, Small: 1, Large: 8, Interval: 15
  64 | 16940.02 | Threshold: 3.00, Window: 30, Small: 1, Large: 10, Interval: 15
  65 | 16929.69 | Threshold: 3.00, Window: 20, Small: 2, Large: 8, Interval: 15
  66 | 16915.39 | Threshold: 3.00, Window: 20, Small: 3, Large: 8, Interval: 15
  67 | 16908.59 | Threshold: 3.00, Window: 30, Small: 2, Large: 8, Interval: 15
  68 | 16898.07 | Threshold: 3.00, Window: 30, Small: 1, Large: 10, Interval: 10
  69 | 16887.28 | Threshold: 3.50, Window: 20, Small: 1, Large: 6, Interval: 10
  70 | 16872.99 | Threshold: 4.00, Window: 30, Small: 1, Large: 6, Interval: 15
  71 | 16864.87 | Threshold: 3.50, Window: 30, Small: 3, Large: 10, Interval: 20
  72 | 16860.30 | Threshold: 3.50, Window: 30, Small: 1, Large: 8, Interval: 20
  73 | 16847.96 | Threshold: 3.00, Window: 20, Small: 1, Large: 4, Interval: 10
  74 | 16845.97 | Threshold: 3.00, Window: 20, Small: 1, Large: 10, Interval: 30
  75 | 16830.01 | Threshold: 3.00, Window: 20, Small: 2, Large: 10, Interval: 30
  76 | 16829.35 | Threshold: 3.50, Window: 30, Small: 2, Large: 8, Interval: 25
  77 | 16826.33 | Threshold: 3.50, Window: 20, Small: 3, Large: 4, Interval: 10
  78 | 16817.80 | Threshold: 3.50, Window: 20, Small: 3, Large: 10, Interval: 20
  79 | 16814.05 | Threshold: 3.00, Window: 20, Small: 3, Large: 10, Interval: 30
  80 | 16810.28 | Threshold: 3.50, Window: 20, Small: 1, Large: 8, Interval: 20
  81 | 16806.36 | Threshold: 3.50, Window: 30, Small: 2, Large: 6, Interval: 20
  82 | 16797.78 | Threshold: 4.00, Window: 30, Small: 3, Large: 10, Interval: 20
  83 | 16793.72 | Threshold: 3.50, Window: 20, Small: 2, Large: 4, Interval: 10
  84 | 16789.57 | Threshold: 3.50, Window: 20, Small: 2, Large: 8, Interval: 25
  85 | 16784.96 | Threshold: 4.00, Window: 30, Small: 2, Large: 8, Interval: 25
  86 | 16780.75 | Threshold: 3.00, Window: 30, Small: 1, Large: 4, Interval: 10
  87 | 16768.56 | Threshold: 4.00, Window: 30, Small: 1, Large: 8, Interval: 20
  88 | 16765.11 | Threshold: 3.50, Window: 20, Small: 2, Large: 6, Interval: 20
  89 | 16761.36 | Threshold: 3.50, Window: 20, Small: 1, Large: 4, Interval: 10
  90 | 16758.96 | Threshold: 3.50, Window: 30, Small: 2, Large: 8, Interval: 10
  91 | 16756.26 | Threshold: 3.50, Window: 20, Small: 2, Large: 8, Interval: 15
  92 | 16754.06 | Threshold: 3.50, Window: 20, Small: 2, Large: 6, Interval: 15
  93 | 16719.01 | Threshold: 3.00, Window: 30, Small: 1, Large: 10, Interval: 20
  94 | 16715.77 | Threshold: 4.00, Window: 30, Small: 2, Large: 6, Interval: 20
  95 | 16705.37 | Threshold: 3.00, Window: 30, Small: 2, Large: 8, Interval: 10
  96 | 16689.34 | Threshold: 3.00, Window: 20, Small: 1, Large: 6, Interval: 15
  97 | 16687.23 | Threshold: 4.00, Window: 30, Small: 1, Large: 10, Interval: 10
  98 | 16684.12 | Threshold: 3.50, Window: 20, Small: 1, Large: 8, Interval: 10
  99 | 16679.49 | Threshold: 4.00, Window: 30, Small: 3, Large: 6, Interval: 15
 100 | 16677.89 | Threshold: 4.00, Window: 30, Small: 2, Large: 10, Interval: 15
